"lang" 
{ 
"Language" "Arabic" 
"Tokens" 
{ 
"TrackerUI_ConnectionSpeed"				"מהירות חיבור לאינטרנט"
"TrackerUI_FavoriteWindowLabel_Windows"	"בחר באיזו חלון של Steam יופיע כאשר התוכנית מתחילה, וכאשר אתה לוחץ פעמיים על סמל מגש המערכת."
"TrackerUI_FavoriteWindowLabel"			"בחר באיזו חלון של Steam יופיע כאשר התוכנית מתחילה."
"TrackerUI_FavoriteWindow"			"חלון מועדף"


"Friends_Chat_Title"				"%tabtitle% - צ'אט"
"Friends_Chat_Group_Title"			"%tabtitle% - צ'אט קבוצתי"
"Friends_Chat_Room_Headline"		"%friend%"
"Friends_ChatTo"					"ל: %friend%"
"Friends_ChatToPlusStatus"			"ל: %friend% (%status%)"
"Friends_ChatToPlusInGame"			"ל: %friend% (משחק ב-%game%)"
"Friends_UserSays"					"%friend% אומר:\n"
"Friends_TypingMessage"				"%friend% כותב הודעה."
"Friends_LastMessageReceived"		"הודעה אחרונה התקבלה: %date% בשעה %time%"
"Friends_FriendInfoDialog_Title"	"%friend% - מידע משתמש"
"Friends_Chat_FriendNameChanged"		"%old_name% שינה את שמו ל-%friend%.\n"
"Friends_Chat_FriendStateChanged"		"%friend% עכשיו %status%.\n"
"Friends_Chat_Send"					"שלח"
"Friends_Chat_InviteToChat"			"זמן לצ'אט"
"Friends_Chat_ReJoin"					"הצטרף מחדש"
"Friends_Chat_CannotSendFriendOffline" "%friend% לא מקוון כרגע, לא ניתן לשלוח הודעה.\n"
"Friends_Chat_SendOfflineMessage" "%friend% לא מחובר כרגע, הוא יקבל את הודעתך בפעם הבאה שיתחבר.\n"
"Friends_Chat_InvitedToGame"			"%friend% הזמין אותך להצטרף אליו במשחק %game%. "
"Friends_Chat_FriendHasChangedGame"	"%friend% משחק עכשיו ב-%game%. "
"Friends_Chat_FriendHasChangedApp"	"%friend% משתמש עכשיו ב-%game%. "
"Friends_Chat_UnknownGame"			"משחק"
"Friends_Chat_ClickHereToJoin"		"לחץ כאן כדי להצטרף."
"Friends_Chat_ConvertedToMultiUser"	"שיחתך עם %friend% הפכה לשיחה מרובת משתתפים.\n"
"Friends_Chat_AnonymousChatName"		"אנונימי"
"Friends_Chat_Settings"		"הגדרות צ'אט"
"Friends_Chat_InviteToWatch"		"הזמן לצפייה"

"Friends_Chat_CreateFailed_Title"		"כשל בייצור צ'אט"
"Friends_Chat_CreateFailed_Generic"		"נכשל ביצירת חדר צ'אט"
"Friends_Chat_CreateFailed_TooMany"		"יצרת יותר מדי צ'אטים. עליך לרוקן חלק מהם לפני שתוכל ליצור עוד."

"Friends_Title_Online"	"חברים"
"Friends_Title_Busy"	"חברים"
"Friends_Title_Away"	"חברים"
"Friends_Title_Snooze"	"חברים"
"Friends_Title_Offline"	"חברים"

"Friends_Page_Groups"	"קבוצות"
"Friends_Page_Friends"	"חברים"
"Friends_Page_Games"	"משחקים"

"Friends_MyStatus"		"סטטוס שלי"
"Friends_InGame"		"בתוך משחק"
"Friends_InApp"			"באפליקציה"
"Friends_InMod"			"במוד"
"Friends_InShortcut"		" במשחק שאינו Steam"
"Friends_Blocked"		"חסום"

"Friends_AddFriend"		"הוסף חבר..."
"Friends_Edit_Profile"	"ערוך פרופיל..."

"Friends_FriendList_CurrentGame"	"משחק נוכחי"
"Friends_FriendList_InGame"		"במשחק"
"Friends_FriendList_Online"		"מחובר"
"Friends_FriendList_Offline"		"מנותק"

"Friends_SendInstantMessage"		"שלח הודעה..."
"Friends_Ignore"			"חסום כל תקשורת..."
"Friends_UnIgnore"			"הסר חסימה"
"Friends_InviteFriendToGame"		"זמן למשחק"
"Friends_JoinGame"				"צטרף למשחק"
"Friends_LaunchGame"				"הפעל משחק"
"Friends_ViewGameInfo"			"ראה מידע על המשחק"
"Friends_UserDetails"				"צפה בפרטי המשתמש"
"Friends_RemoveUser"				"הסר חבר זה..."

"Friends_RemoveFriend_Title"			"חברים - הסרת משתמש"
"Friends_RemoveFriend_Info"				"האם אתה בטוח שברצונך להסיר את %friend% מרשימת החברים שלך?\n\n(תוכל להוסיף אותו שוב מאוחר יותר באמצעות הכפתור 'הוסף חבר...')\n"
"Friends_RemoveFriend_Button"			"הסר %friend%"

"Friends_HideFriend_Title"				"חברים - התעלם מהמשתמש"
"Friends_HideFriend_Info"				"האם אתה בטוח שברצונך להתעלם ולהסיר את %friend% מרשימת חברים מומלצים?\n\n(תוכל להוסיף אותו שוב מאוחר יותר באמצעות הכפתור 'הוסף חבר...')\n"
"Friends_HideFriend_Button"				"התעלם מ-%friend%"
"Friends_HideFriend_Failed"				"לא הצלחנו להתעלם מחבר %friend%"

"Friends_Options"			"אפשרויות"


"Friends_Options_Title"		"אפשרויות משתמש - %name%"
"Friends_Options_ProfileTab"	"פרופיל"
"Friends_Options_SoundsTab"	"צלילים"


"Friends_EnterAccountNameOrEmailAddress"	"הזן את שם חשבון Steam או כתובת הדוא\"ל של האדם שברצונך להוסיף לרשימת החברים שלך."
"Friends_SearchingForFriend"				"מחפש %search%..."
"Friends_FriendHasBeenAddedToYourListUnderName" "%search% נוסף לרשימת החברים שלך, תחת השם '%friend%'."
"Friends_FriendHasBeenAddedToYourList"		"%friend% נוסף לרשימת החברים שלך."
"Friends_UnableToFindFriendByThatName"		"לא הצלחנו למצוא %search%. לחץ על 'חזור' אם ברצונך לנסות לחפש שוב."
"Friends_CannotAddSelfToList"				"אינך יכול להוסיף את עצמך לרשימת החברים שלך!"
"Friends_CannotAddFriendWhoIsAlreadyInList" "%search% כבר נמצא ברשימת החברים שלך, תחת השם '%friend%'."

"Friends_ConnectedButOffline"					"אתה מוגדר כעת להופיע כמנותק לכל חבריך."
"Friends_NoFriendsInList"						"למה שלא תזמין מישהו להיות חבר שלך?"
"Friends_GoOnline"							"התחבר"
"Friends_SignIn_RefreshPassword"				"מתחבר..."
"Friends_SignIn_ActivateFriends"				"צטרף ל-Beta של חברים..."
"Friends_ConnectingToFriendsNetwork"			"מחובר לרשת חברים..."
"Friends_ScanningForFriends"					"מוריד רשימת חברים..."

"Friends_NotConnectedToFriendsNetwork"		"לא ניתן היה להקים חיבור לרשת החברים. Steam ינסה לחדש את החיבור אוטומטית עד שהשירות יהיה זמין."
"Friends_NotConnectedToFriendsNetwork_InvalidPassword"	"עליך להתחבר מחדש ל-Steam כדי להשתמש בחברים."
"Friends_NotConnectedToFriendsNetwork_LoggedInElsewhere"	"התנתקתם מרשת חברים, מכיוון שחשבון זה מחובר במקום אחר.\n"
"Friends_NotConnectedToFriendsNetwork_InvalidVersion"		"גרסה זו של Steam ישנה מדי כדי להתחבר לרשת חברים. הפעל מחדש את Steam לקבלת העדכון האחרון."
"Friends_NotConnectedToFriendsNetwork_ServersBusy"		"שרתי Steam כרגע במצב תחזוקה שגרתית. חברים יתחברו אוטומטית ברגע שהם יהיו זמינים."
"Friends_NotConnectedToFriendsNetwork_NoConnection"		"לא ניתן היה ליצור חיבור לרשת לשרתי Steam. Steam ינסה לחדש את החיבור אוטומטית עד שהשירות יהיה זמין."
"Friends_NotAvailableInOfflineMode"			"חברים אינו זמין במצב לא מקוון."


"Friends_UserRequestingFriendship_Title"		"חברים - %friend%"
"Friends_UserRequestingFriendship_Info"		"%friend% הוסיף אותך לרשימת החברים שלו."
"Friends_AllowUserToSeeMeOnline"				"אפשר ל-%friend% לראות מתי אתה מחובר ולצור איתך קשר."
"Friends_BlockUserFromSeeingMeOnline"			"החזר את האפשרות של אדם זה לראות מתי אתה מחובר ולצור איתך קשר."

"Friends_AddFriend_Title"			"הוסף חבר"

"Friends_FriendInfoDialog_DetailsTab"		"פרטים"
"Friends_FriendInfoDialog_StatusTab"		"מצב"

"Friends_FriendlyName"				"שם"
"Friends_RecentlyUsedNames"			"שמות בשימוש אחרון:"

"Friends_PlaySoundWhenFriendJoins"			"נגן צליל כאשר חבר מצטרף למשחק"
"Friends_PlaySoundWhenFriendComesOnline"		"נגן צליל כאשר חבר מחובר לרשת"
"Friends_PlaySoundWhenReceiveAMessage"		"נגן צליל כאשר אתה מקבל הודעה"
"Friends_NotifyMeWhenUserComesOnline"			"התריע אותי כאשר משתמש זה מחובר לרשת"
"Friends_PlaySoundWhenUserComesOnline"		"תמיד נגן צליל כאשר משתמש זה מחובר לרשת"
"Friends_PlaySoundWhenUserJoinsGame"			"תמיד נגן צליל כאשר משתמש זה משחק במשחק"

"Friends_RemoveUserExplanation"	"אם תסיר חבר זה מרשימת החברים שלך, הוא לא יוכל לראות מתי אתה מחובר או לשלוח לך הודעות."

"Friends_FriendInvitedToGame_Title"	"הזמנה - %friend%"
